Account,date,daily_pnl,total_trades,winning_trades,avg_trade_size,total_volume,long_trades,short_trades,win_rate,long_short_ratio,value,classification,sentiment,frequency_segment,size_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,-175611.00005600002,33,0,36736.36242424243,1212299.96,33,0,0.0,,72,Greed,Greed,Frequent,Large Positions,Consistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0,5089.718248587571,900880.13,0,177,0.0,0.0,76,Extreme Greed,Greed,Frequent,Large Positions,Consistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,9482.221441,45,36,2985.797555555556,134360.89,36,9,0.8,4.0,74,Greed,Greed,Frequent,Large Positions,Consistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,9,185847.0,1858470.0,9,1,0.9,9.0,60,Greed,Greed,Frequent,Large Positions,Consistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,101011.685664,839,256,23593.019856972587,19794543.66,350,489,0.30512514898688914,0.7157464212678937,26,Fear,Fear,Frequent,Large Positions,Consistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,540,8371.136099843994,5365898.24,540,101,0.8424336973478939,5.346534653465347,33,Fear,Fear,Frequent,Large Positions,Consistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,375620.270243,531,83,10576.687156308852,5616220.88,111,420,0.15630885122410546,0.2642857142857143,44,Fear,Fear,Frequent,Large Positions,Consistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,44400.9058,210,78,26585.06338095238,5582863.31,78,132,0.37142857142857144,0.5909090909090909,67,Greed,Greed,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,0.0,1,0,0.06,0.06,0,1,0.0,0.0,71,Greed,Greed,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,0.0,34,0,1426.8700000000001,48513.58,34,0,0.0,,72,Greed,Greed,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,3515.031065,26,25,2001.101153846154,52028.630000000005,0,26,0.9615384615384616,0.0,25,Fear,Fear,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,0.0,46,0,1131.888695652174,52066.88,46,0,0.0,,31,Fear,Fear,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,2517.787385,64,63,852.88625,54584.72,0,64,0.984375,0.0,49,Neutral,Greed,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,1162.002541,78,25,2094.719358974359,163388.11,53,25,0.32051282051282054,2.12,70,Greed,Greed,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,1243.853569,250,81,815.50576,203876.44,169,81,0.324,2.0864197530864197,72,Greed,Greed,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,233,2792.42166344294,1443682.0,270,247,0.4506769825918762,1.0931174089068827,60,Greed,Greed,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110,50,1999.099181818182,219900.91,60,50,0.45454545454545453,1.2,33,Fear,Fear,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,0.0,1,0,54768.6,54768.6,1,0,0.0,,15,Extreme Fear,Fear,Frequent,Large Positions,Consistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-3169.3554679999997,65,0,1756.5103076923076,114173.17,55,10,0.0,5.5,25,Fear,Fear,Frequent,Large Positions,Consistent
0x271b280974205ca63b716753467d5a371de622ab,2024-05-12,208.81746,4,3,39530.9875,158123.95,3,1,0.75,3.0,56,Greed,Greed,Infrequent,Large Positions,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,4458.25495,193,97,247.12725388601035,47695.56,66,127,0.5025906735751295,0.5196850393700787,71,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,1283.846047,140,73,140.36935714285713,19651.71,70,70,0.5214285714285715,1.0,70,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-03-12,1190.358719,78,37,92.37217948717948,7205.03,28,50,0.47435897435897434,0.56,81,Extreme Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-04-12,9066.169646,112,60,165.78285714285715,18567.68,30,82,0.5357142857142857,0.36585365853658536,79,Extreme Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-05-12,14685.787664,98,48,259.2459183673469,25406.1,33,65,0.4897959183673469,0.5076923076923077,56,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-06-12,389.176232,69,16,129.80536231884057,8956.57,27,42,0.2318840579710145,0.6428571428571429,72,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-07-12,4008.012049,86,36,159.67825581395348,13732.33,20,66,0.4186046511627907,0.30303030303030304,25,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-08-12,554.009942,102,43,77.67176470588235,7922.52,31,71,0.4215686274509804,0.43661971830985913,25,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-09-12,768.430838,213,126,88.1318309859155,18772.08,169,44,0.5915492957746479,3.840909090909091,31,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-12,980.557461,157,106,119.62222929936306,18780.69,117,40,0.6751592356687898,2.925,49,Neutral,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-12,1582.001112,93,32,124.41204301075268,11570.32,16,77,0.34408602150537637,0.2077922077922078,80,Extreme Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,147,82,150.14530612244897,22071.36,28,119,0.5578231292517006,0.23529411764705882,83,Extreme Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,59,21,263.3476271186441,15537.51,44,15,0.3559322033898305,2.933333333333333,66,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,3.536668000000001,51,21,1057.5154901960784,53933.29,30,21,0.4117647058823529,1.4285714285714286,70,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,557.9358,37,14,840.2127027027027,31087.87,18,19,0.3783783783783784,0.9473684210526315,74,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,768.351892,41,27,422.4107317073171,17318.84,14,27,0.6585365853658537,0.5185185185185185,73,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,16.923621,2,2,135.32,270.64,0,2,1.0,0.0,72,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,416.546688,101,46,217.69336633663366,21987.03,25,76,0.45544554455445546,0.32894736842105265,68,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,-1416.906536,91,5,1328.6620879120878,120908.25,80,11,0.054945054945054944,7.2727272727272725,60,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,8330.21747,73,56,1432.3072602739728,104558.43000000001,18,55,0.7671232876712328,0.32727272727272727,44,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,669.381363,70,42,414.13428571428574,28989.4,27,43,0.6,0.627906976744186,72,Greed,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,250.581483,69,36,217.15115942028987,14983.43,34,35,0.5217391304347826,0.9714285714285714,20,Extreme Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,439.634046,75,45,1251.5914666666667,93869.36,27,48,0.6,0.5625,26,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,494.669357,58,21,536.928448275862,31141.85,48,10,0.3620689655172414,4.8,33,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,149.51234499999998,85,10,453.3190588235294,38532.12,64,21,0.11764705882352941,3.0476190476190474,15,Extreme Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,232.66549799999999,81,40,156.68296296296296,12691.32,32,49,0.49382716049382713,0.6530612244897959,34,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,1291.500575,48,17,1139.6597916666667,54703.67,31,17,0.3541666666666667,1.8235294117647058,44,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,163.73415,43,13,1091.9493023255814,46953.82,42,1,0.3023255813953488,42.0,25,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,498.73528200000004,100,56,280.5443,28054.43,33,67,0.56,0.4925373134328358,28,Fear,Fear,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-01,87.752181,82,44,101.1840243902439,8297.09,39,43,0.5365853658536586,0.9069767441860465,53,Neutral,Greed,Frequent,Small Positions,Consistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-02,696.8107239999999,83,37,912.4063855421687,75729.73,45,38,0.4457831325301205,1.1842105263157894,67,Greed,Greed,Frequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-01-11,-0.09906000000000104,14,4,2139.280714285714,29949.93,6,8,0.2857142857142857,0.75,76,Extreme Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-02-12,16196.864846,53,30,2348.7403773584906,124483.23999999999,23,30,0.5660377358490566,0.7666666666666667,70,Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-03-12,121.535562,59,14,1685.5867796610169,99449.62,33,26,0.23728813559322035,1.2692307692307692,81,Extreme Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-04-12,7591.307059,37,25,3426.9959459459456,126798.84999999999,12,25,0.6756756756756757,0.48,79,Extreme Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-05-12,2069.92634,33,30,890.1048484848485,29373.46,3,30,0.9090909090909091,0.1,56,Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-06-11,-3.41119,3,0,666.84,2000.52,1,2,0.0,0.5,74,Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-06-12,-123.870122,9,0,2324.0444444444447,20916.4,5,4,0.0,1.25,72,Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-08-11,-710.786946,15,0,2003.9206666666666,30058.81,5,10,0.0,0.5,39,Fear,Fear,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-12,130.883691,12,7,1585.4033333333334,19024.84,5,7,0.5833333333333334,0.7142857142857143,49,Neutral,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-12,8544.6855,19,10,6550.684736842106,124463.01000000001,9,10,0.5263157894736842,0.9,80,Extreme Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-12,7639.595794,62,39,5565.801451612903,345079.69,23,39,0.6290322580645161,0.5897435897435898,83,Extreme Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-02,88.50699399999999,21,12,5610.000952380952,117810.02,5,16,0.5714285714285714,0.3125,70,Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-04,1334.414834,9,4,1193.0444444444445,10737.4,5,4,0.4444444444444444,1.25,73,Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-04,1.1031579999999999,6,2,395.24,2371.44,3,3,0.3333333333333333,1.0,72,Greed,Greed,Infrequent,Small Positions,Consistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-04,160.127816,26,19,739.3319230769231,19222.63,7,19,0.7307692307692307,0.3684210526315789,15,Extreme Fear,Fear,Infrequent,Small Positions,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-01-05,0.0,3,0,159.0,477.0,3,0,0.0,,29,Fear,Fear,Infrequent,Small Positions,Inconsistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-08,0.0,1,0,0.74,0.74,0,1,0.0,0.0,71,Greed,Greed,Infrequent,Small Positions,Inconsistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-12,13.566929,3,2,11.366666666666667,34.1,1,2,0.6666666666666666,0.5,71,Greed,Greed,Infrequent,Small Positions,Inconsistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-02-12,0.0,1,0,0.0,0.0,0,1,0.0,0.0,70,Greed,Greed,Infrequent,Small Positions,Inconsistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-08,0.0,1,0,0.65,0.65,0,1,0.0,0.0,81,Extreme Greed,Greed,Infrequent,Small Positions,Inconsistent
